strike,bid,ask,lastPrice,volume,impliedVolatility,expiry,dte,mid,computed_iv,iv_diff
640.0,52.62,55.41,54.37,280.0,0.7722190747070312,2026-01-12,0,54.015,,
645.0,47.64,50.42,49.88,214.0,0.7163114306640624,2026-01-12,0,49.03,,
650.0,42.64,45.38,44.52,23.0,0.6533237792968751,2026-01-12,0,44.010000000000005,,
664.0,28.65,31.43,30.64,27.0,0.4939015454101563,2026-01-12,0,30.04,,
665.0,27.64,30.43,29.05,11.0,0.48169463623046876,2026-01-12,0,29.035,,
670.0,22.68,25.43,24.89,15.0,0.4204159521484375,2026-01-12,0,24.055,,
675.0,18.89,19.12,19.33,664.0,0.174812939453125,2026-01-12,0,19.005000000000003,,
677.0,15.69,18.38,17.12,16.0,0.327155166015625,2026-01-12,0,17.035,,
679.0,13.69,16.39,15.08,50.0,0.301764794921875,2026-01-12,0,15.04,,
680.0,13.9,14.14,14.5,202.0,0.141610146484375,2026-01-12,0,14.02,,
681.0,12.91,13.15,14.07,74.0,0.1362391064453125,2026-01-12,0,13.030000000000001,,
682.0,11.92,12.15,13.0,44.0,0.1274501318359375,2026-01-12,0,12.035,,
683.0,10.93,11.16,11.1,119.0,0.1211025390625,2026-01-12,0,11.045,,
684.0,9.95,10.19,10.08,182.0,0.11841701904296875,2026-01-12,0,10.07,,
685.0,8.97,9.21,9.09,970.0,0.11231356445312499,2026-01-12,0,9.09,,
686.0,7.99,8.23,8.11,476.0,0.1054776953125,2026-01-12,0,8.11,,
687.0,7.03,7.27,7.17,1210.0,0.100594931640625,2026-01-12,0,7.15,,
688.0,6.18,6.32,6.22,1693.0,0.09534596069335938,2026-01-12,0,6.25,,
689.0,5.17,5.36,5.24,5150.0,0.08765560791015625,2026-01-12,0,5.265000000000001,,
690.0,4.32,4.4,4.32,28125.0,0.07862249511718751,2026-01-12,0,4.36,,
691.0,3.41,3.52,3.44,34980.0,0.07410593872070315,2026-01-12,0,3.465,,
692.0,2.63,2.69,2.64,48588.0,0.06946731323242189,2026-01-12,0,2.66,,
693.0,1.89,1.95,1.89,69752.0,0.06580524047851563,2026-01-12,0,1.92,,
694.0,1.28,1.3,1.29,88310.0,0.06165489135742189,2026-01-12,0,1.29,,
695.0,0.79,0.81,0.8,95602.0,0.05945764770507812,2026-01-12,0,0.8,,
696.0,0.46,0.47,0.46,48433.0,0.058236956787109384,2026-01-12,0,0.46499999999999997,,
697.0,0.25,0.26,0.25,33220.0,0.058114887695312506,2026-01-12,0,0.255,,
698.0,0.12,0.13,0.12,31972.0,0.05787074951171876,2026-01-12,0,0.125,,
699.0,0.06,0.07,0.05,19653.0,0.059579716796875,2026-01-12,0,0.065,,
700.0,0.03,0.04,0.04,49673.0,0.06202109863281251,2026-01-12,0,0.035,,
701.0,0.02,0.03,0.02,11478.0,0.06739213867187502,2026-01-12,0,0.025,,
702.0,0.01,0.02,0.02,7662.0,0.071298349609375,2026-01-12,0,0.015,,
703.0,0.01,0.02,0.02,4480.0,0.07813421875000001,2026-01-12,0,0.015,,
704.0,0.01,0.02,0.02,1435.0,0.08594664062500001,2026-01-12,0,0.015,,
705.0,0.01,0.02,0.01,2862.0,0.0937590625,2026-01-12,0,0.015,,
706.0,0.01,0.02,0.01,3078.0,0.100594931640625,2026-01-12,0,0.015,,
707.0,0.01,0.02,0.02,1081.0,0.10743080078125,2026-01-12,0,0.015,,
672.0,20.77,23.52,19.66,13.0,0.3293524096679687,2026-01-13,1,22.145,,
678.0,16.01,16.29,16.71,194.0,0.15943223388671873,2026-01-13,1,16.15,0.152591763774985,-0.006840470111733721
680.0,14.02,14.36,14.62,49.0,0.15235222656250003,2026-01-13,1,14.19,0.18653843545535478,0.03418620889285476
681.0,13.06,13.38,14.34,11.0,0.14624877197265623,2026-01-13,1,13.22,0.19044392506344168,0.04419515309078545
683.0,11.12,11.44,11.68,127.0,0.13477427734375003,2026-01-13,1,11.28,0.18542544489081184,0.05065116754706181
684.0,10.18,10.42,10.94,159.0,0.12378805908203125,2026-01-13,1,10.3,0.1769720958327061,0.053184036750674846
685.0,9.23,9.49,10.38,280.0,0.1206142626953125,2026-01-13,1,9.36,0.1757493159014893,0.05513505320617679
686.0,8.29,8.57,9.49,59.0,0.11695218994140624,2026-01-13,1,8.43,0.17294427255496927,0.05599208261356303
687.0,7.37,7.63,7.59,218.0,0.11097080444335936,2026-01-13,1,7.5,0.1672626170468036,0.056291812603444236
688.0,6.48,6.75,7.29,208.0,0.10779700805664064,2026-01-13,1,6.615,0.16467172947712483,0.05687472142048419
689.0,5.61,5.88,5.76,1435.0,0.10364665893554686,2026-01-13,1,5.745,0.16030064417832984,0.05665398524278298
690.0,4.85,5.03,4.89,2953.0,0.0991301025390625,2026-01-13,1,4.9399999999999995,0.15867314093174248,0.05954303839267998
691.0,4.04,4.24,4.1,6605.0,0.09577320251464845,2026-01-13,1,4.140000000000001,0.15346332777451407,0.057690125259865624
692.0,3.33,3.49,3.45,4777.0,0.09211112976074219,2026-01-13,1,3.41,0.1498270906237578,0.0577159608630156
693.0,2.65,2.81,2.69,6617.0,0.08905940246582032,2026-01-13,1,2.73,0.14540797902536473,0.05634857655954441
694.0,2.09,2.12,2.13,8931.0,0.08301698242187502,2026-01-13,1,2.105,0.14004374849663187,0.057026766074756846
695.0,1.56,1.59,1.56,7900.0,0.08045353149414064,2026-01-13,1,1.5750000000000002,0.13592153979084107,0.05546800829670043
696.0,1.12,1.14,1.12,4881.0,0.07776801147460938,2026-01-13,1,1.13,0.1319304548739308,0.054162443399321414
697.0,0.77,0.79,0.76,3538.0,0.07581490600585938,2026-01-13,1,0.78,0.1287373028410382,0.052922396835178825
698.0,0.51,0.52,0.5,6369.0,0.07392283508300783,2026-01-13,1,0.515,0.12599705814614168,0.05207422306313385
699.0,0.32,0.33,0.32,8184.0,0.07251904052734376,2026-01-13,1,0.325,0.12373326890209128,0.051214228374747525
700.0,0.19,0.2,0.19,6929.0,0.07154248779296876,2026-01-13,1,0.195,0.12175098061217732,0.050208492819208556
701.0,0.1,0.11,0.11,2772.0,0.06983352050781251,2026-01-13,1,0.10500000000000001,0.11860422141539136,0.048770700907578846
702.0,0.05,0.06,0.06,4528.0,0.06885696777343751,2026-01-13,1,0.055,0.11675941128233346,0.04790244350889594
703.0,0.03,0.04,0.04,3386.0,0.071298349609375,2026-01-13,1,0.035,0.11969706581280516,0.048398716203430156
704.0,0.02,0.03,0.02,4363.0,0.07422800781250001,2026-01-13,1,0.025,0.12466840258924122,0.05044039477674121
705.0,0.01,0.02,0.01,8013.0,0.07618111328125002,2026-01-13,1,0.015,0.12654221553787715,0.05036110225662713
706.0,0.01,0.02,0.02,24.0,0.08204042968750001,2026-01-13,1,0.015,0.13659367723596652,0.05455324754846651
707.0,0.01,0.02,0.02,1386.0,0.08789974609375001,2026-01-13,1,0.015,0.14654711846028728,0.058647372366537276
708.0,0.01,0.02,0.02,598.0,0.0937590625,2026-01-13,1,0.015,0.15641076825693345,0.06265170575693345
709.0,0.01,0.02,0.01,12.0,0.09961837890625,2026-01-13,1,0.015,0.16619153633836492,0.06657315743211492
710.0,0.01,0.02,0.02,38.0,0.1054776953125,2026-01-13,1,0.015,0.1758953010347606,0.07041760572226059
711.0,0.01,0.02,0.02,461.0,0.11133701171874999,2026-01-13,1,0.015,0.1855271200692204,0.07419010835047041
712.0,0.01,0.02,0.01,1346.0,0.117196328125,2026-01-13,1,0.015,0.19509138821573102,0.07789506009073102
713.0,0.01,0.02,0.01,1091.0,0.12305564453125001,2026-01-13,1,0.015,0.2045919574657054,0.0815363129344554
715.0,0.01,0.02,0.01,710.0,0.133797724609375,2026-01-13,1,0.015,0.22341523212543116,0.08961750751605616
716.0,0.01,0.02,0.01,266.0,0.13868048828125001,2026-01-13,1,0.015,0.23274367116137504,0.09406318288012502
717.0,0.01,0.02,0.01,1691.0,0.1445398046875,2026-01-13,1,0.015,0.24201998388774926,0.09748017920024926
718.0,0.01,0.02,0.01,1001.0,0.15039912109375003,2026-01-13,1,0.015,0.25124637411535655,0.10084725302160652
673.0,19.9,22.65,19.73,63.0,0.2841868457031249,2026-01-14,2,21.275,0.19289958066988747,-0.09128726503323745
674.0,18.92,21.61,18.57,50.0,0.27259028198242186,2026-01-14,2,20.265,0.17931477270492313,-0.09327550927749872
675.0,17.93,19.58,19.68,60.0,0.1909260595703125,2026-01-14,2,18.755,,
677.0,15.98,18.67,14.56,26.0,0.24793232543945312,2026-01-14,2,17.325000000000003,0.17870034960732056,-0.06923197583213256
680.0,14.26,14.55,14.79,57.0,0.149422568359375,2026-01-14,2,14.405000000000001,0.16987275964709286,0.020450191287717856
681.0,13.3,13.65,13.52,26.0,0.14905636108398437,2026-01-14,2,13.475000000000001,0.17188878338992408,0.02283242230593971
683.0,11.41,11.72,12.11,27.0,0.13697152099609378,2026-01-14,2,11.565000000000001,0.1630339636855071,0.026062442689413323
684.0,10.49,10.79,10.72,40.0,0.13257703369140628,2026-01-14,2,10.64,0.16040196947599802,0.027824935784591748
685.0,9.58,9.86,10.33,253.0,0.12757220092773439,2026-01-14,2,9.719999999999999,0.15674975420037576,0.029177553272641377
686.0,8.7,8.98,8.86,195.0,0.12464254272460937,2026-01-14,2,8.84,0.1551274115740251,0.03048486884941573
687.0,7.81,8.11,8.96,106.0,0.12116357360839844,2026-01-14,2,7.959999999999999,0.15163328935528853,0.030469715746890086
688.0,7.04,7.25,7.18,956.0,0.117196328125,2026-01-14,2,7.145,0.1509785845120258,0.03378225638702581
689.0,6.22,6.41,6.37,1339.0,0.11316804809570313,2026-01-14,2,6.3149999999999995,0.1471856190993619,0.034017571003658764
690.0,5.45,5.62,5.5,2526.0,0.10999425170898436,2026-01-14,2,5.535,0.14446688286330872,0.03447263115432436
691.0,4.7,4.87,4.82,1737.0,0.10700355895996094,2026-01-14,2,4.785,0.1412632839948477,0.03425972503488675
692.0,4.0,4.16,4.1,2813.0,0.10407390075683592,2026-01-14,2,4.08,0.13816408825503326,0.03409018749819734
693.0,3.39,3.51,3.4,5954.0,0.10163251892089843,2026-01-14,2,3.45,0.13638442216764962,0.03475190324675119
694.0,2.8,2.82,2.77,3314.0,0.09607837524414065,2026-01-14,2,2.8099999999999996,0.1314661814371574,0.03538780619301676
695.0,2.25,2.28,2.25,7245.0,0.0937590625,2026-01-14,2,2.2649999999999997,0.1283713911391147,0.03461232863911469
696.0,1.77,1.79,1.79,3000.0,0.09107354248046876,2026-01-14,2,1.78,0.12517512697936098,0.03410158449889222
697.0,1.36,1.38,1.37,2770.0,0.08899836791992188,2026-01-14,2,1.37,0.122528477758519,0.03353010983859711
698.0,1.01,1.03,1.02,3073.0,0.08680112426757813,2026-01-14,2,1.02,0.11964662137927745,0.03284549711169932
699.0,0.72,0.74,0.73,1819.0,0.08448181152343752,2026-01-14,2,0.73,0.11654606059653465,0.03206424907309713
700.0,0.5,0.51,0.5,5817.0,0.08216249877929688,2026-01-14,2,0.505,0.11377043395795643,0.03160793517865955
701.0,0.33,0.34,0.35,2274.0,0.08020939331054688,2026-01-14,2,0.335,0.11109681800204299,0.030887424691496107
702.0,0.21,0.22,0.21,1175.0,0.07862249511718751,2026-01-14,2,0.215,0.10888590579327118,0.030263410676083666
703.0,0.13,0.14,0.13,1581.0,0.07764594238281251,2026-01-14,2,0.135,0.10731725401152208,0.029671311628709562
704.0,0.07,0.08,0.08,3017.0,0.07569283691406252,2026-01-14,2,0.07500000000000001,0.10428710939850047,0.028594272484437952
705.0,0.04,0.05,0.04,1905.0,0.07569283691406252,2026-01-14,2,0.045,0.10373935028200254,0.02804651336794002
706.0,0.03,0.04,0.04,647.0,0.07862249511718751,2026-01-14,2,0.035,0.10760906319229019,0.02898656807510268
707.0,0.02,0.03,0.02,2293.0,0.0805756005859375,2026-01-14,2,0.025,0.11003219750276863,0.029456596916831126
708.0,0.02,0.03,0.02,571.0,0.08594664062500001,2026-01-14,2,0.025,0.1173767703416894,0.03143012971668939
709.0,0.02,0.03,0.03,109.0,0.090829404296875,2026-01-14,2,0.025,0.12465541909046333,0.033826014793588335
710.0,0.01,0.02,0.02,189.0,0.09180595703125,2026-01-14,2,0.015,0.12382202050386427,0.03201606347261428
711.0,0.01,0.02,0.02,84.0,0.09668872070312501,2026-01-14,2,0.015,0.13063597497574322,0.033947254272618216
713.0,0.01,0.02,0.01,103.0,0.106454248046875,2026-01-14,2,0.015,0.14412265969306023,0.03766841164618523
715.0,0.01,0.02,0.02,11.0,0.11524322265625,2026-01-14,2,0.015,0.1574378275634624,0.042194604907212385
716.0,0.01,0.02,0.01,502.0,0.1211025390625,2026-01-14,2,0.015,0.16403636327088422,0.04293382420838422
725.0,0.01,0.02,0.01,194.0,0.16211775390625,2026-01-14,2,0.015,0.221921219059562,0.059803465153312
640.0,52.86,55.64,50.93,42.0,0.507817421875,2026-01-15,3,54.25,,
680.0,14.49,14.78,15.23,44.0,0.14905636108398437,2026-01-15,3,14.635,0.15934536593445037,0.010289004850465994
681.0,13.53,13.86,12.86,17.0,0.14612670288085935,2026-01-15,3,13.695,0.15697587472223057,0.010849171841371213
683.0,11.69,12.0,11.99,16.0,0.13770393554687502,2026-01-15,3,11.844999999999999,0.15195706388983055,0.014253128342955529
685.0,9.91,10.22,10.22,38.0,0.13111220458984374,2026-01-15,3,10.065000000000001,0.14787706616903004,0.016764861579186302
686.0,9.04,9.35,9.91,27.0,0.12769427001953126,2026-01-15,3,9.195,0.14530532667329987,0.01761105665376861
687.0,8.26,8.49,8.61,189.0,0.124032197265625,2026-01-15,3,8.375,0.14433433594592307,0.020302138680298065
688.0,7.38,7.67,7.58,123.0,0.1211025390625,2026-01-15,3,7.525,0.14032242284911003,0.019219883786610034
689.0,6.68,6.85,7.65,304.0,0.11725736267089844,2026-01-15,3,6.765,0.13950915866733865,0.022251795996440213
690.0,5.91,6.1,6.03,1742.0,0.11499908447265625,2026-01-15,3,6.005,0.1370739431503406,0.022074858677684356
691.0,5.17,5.37,5.31,1111.0,0.11225252990722655,2026-01-15,3,5.27,0.13420570490774605,0.021953175000519506
692.0,4.48,4.66,4.62,2138.0,0.10901769897460936,2026-01-15,3,4.57,0.13121540699146975,0.022197708016860385
693.0,3.85,4.01,4.0,4816.0,0.106454248046875,2026-01-15,3,3.9299999999999997,0.12896102862617043,0.02250678057929542
694.0,3.3,3.33,3.29,3964.0,0.10163251892089843,2026-01-15,3,3.315,0.12585641872713652,0.024223899806238083
695.0,2.75,2.78,2.72,4222.0,0.09937424072265624,2026-01-15,3,2.7649999999999997,0.12337424443748132,0.02400000371482508
696.0,2.25,2.28,2.28,1824.0,0.09711596252441407,2026-01-15,3,2.2649999999999997,0.12079601809863869,0.023680055574224618
697.0,1.81,1.83,1.79,1598.0,0.09467458068847658,2026-01-15,3,1.82,0.11823617951185265,0.02356159882337608
698.0,1.43,1.45,1.45,2957.0,0.092782509765625,2026-01-15,3,1.44,0.11609466060148224,0.023312150835857248
699.0,1.1,1.12,1.11,1039.0,0.090829404296875,2026-01-15,3,1.11,0.1137442920267671,0.0229148877298921
700.0,0.82,0.84,0.83,5410.0,0.08869319519042969,2026-01-15,3,0.83,0.11120337397909168,0.02251017878866199
701.0,0.6,0.61,0.6,1417.0,0.08655698608398438,2026-01-15,3,0.605,0.1088757192841573,0.022318733200172927
702.0,0.42,0.43,0.42,1158.0,0.08448181152343752,2026-01-15,3,0.425,0.10642235370570542,0.021940542182267903
703.0,0.28,0.3,0.28,645.0,0.0831390515136719,2026-01-15,3,0.29000000000000004,0.10422955646952035,0.021090504955848452
704.0,0.19,0.2,0.19,765.0,0.08155215332031251,2026-01-15,3,0.195,0.10262965142198056,0.02107749810166805
705.0,0.12,0.13,0.13,1253.0,0.08008732421875,2026-01-15,3,0.125,0.10079789899329795,0.02071057477454795
706.0,0.08,0.09,0.08,217.0,0.08008732421875,2026-01-15,3,0.08499999999999999,0.1007585967375769,0.02067127251882689
707.0,0.05,0.06,0.05,180.0,0.08008732421875,2026-01-15,3,0.055,0.10023632388009185,0.020148999661341843
708.0,0.03,0.04,0.04,1142.0,0.08008732421875,2026-01-15,3,0.035,0.09985529338917515,0.019767969170425143
709.0,0.03,0.04,0.03,1287.0,0.08497008789062502,2026-01-15,3,0.035,0.10601608769204673,0.021045999801421716
710.0,0.02,0.03,0.03,168.0,0.08594664062500001,2026-01-15,3,0.025,0.10719748233768961,0.021250841712689594
711.0,0.02,0.03,0.03,213.0,0.090829404296875,2026-01-15,3,0.025,0.1130470299032702,0.022217625606395203
712.0,0.01,0.02,0.03,340.0,0.090829404296875,2026-01-15,3,0.015,0.11174016580591838,0.020910761509043377
713.0,0.01,0.02,0.02,352.0,0.09473561523437501,2026-01-15,3,0.015,0.11722991502232827,0.022494299787953254
714.0,0.01,0.02,0.01,73.0,0.09961837890625,2026-01-15,3,0.015,0.12268456381429753,0.02306618490804753
715.0,0.01,0.02,0.02,58.0,0.10352458984374999,2026-01-15,3,0.015,0.12810589089111152,0.02458130104736153
719.0,0.01,0.02,0.02,180.0,0.1211025390625,2026-01-15,3,0.015,0.1494875125465877,0.028384973484087708
720.0,0.01,0.02,0.02,14.0,0.12500875,2026-01-15,3,0.015,0.1547631941345277,0.029754444134527686
210.0,482.7,485.48,483.93,30.0,2.843752890625,2026-01-16,4,484.09000000000003,,
220.0,472.69,475.49,456.33,50.0,2.750003125,2026-01-16,4,474.09000000000003,,
225.0,467.7,470.49,451.66,50.0,2.7343781640625,2026-01-16,4,469.095,,
270.0,422.75,425.53,406.17,25.0,2.5234411914062496,2026-01-16,4,424.14,,
280.0,412.76,415.54,396.17,50.0,2.4570351074218753,2026-01-16,4,414.15,,
290.0,402.77,405.55,384.9,495.0,2.394535263671875,2026-01-16,4,404.15999999999997,,
295.0,397.75,400.56,381.47,50.0,2.3359416601562493,2026-01-16,4,399.155,,
320.0,372.78,375.58,374.95,11.0,2.1796920507812496,2026-01-16,4,374.17999999999995,,
330.0,362.78,365.59,361.88,40.0,2.1054734863281244,2026-01-16,4,364.18499999999995,,
335.0,357.79,360.59,348.56,24.0,2.0742235644531246,2026-01-16,4,359.19,,
345.0,347.81,350.6,331.52,25.0,2.019536201171875,2026-01-16,4,349.20500000000004,,
360.0,332.83,334.48,332.15,75.0,2.160160849609375,2026-01-16,4,333.655,,
380.0,312.84,315.63,297.55,446.0,1.7968760156249999,2026-01-16,4,314.235,,
385.0,307.85,310.63,292.55,990.0,1.765626171875,2026-01-16,4,309.24,,
395.0,297.85,300.64,279.89,480.0,1.701173369140625,2026-01-16,4,299.245,,
405.0,287.87,290.65,269.84,625.0,1.646486142578125,2026-01-16,4,289.26,1.4745133949245146,-0.17197274765361037
550.0,144.23,144.52,145.46,18.0,0.8193377441406249,2026-01-16,4,144.375,0.820431918655306,0.0010941745146810788
560.0,134.27,134.51,135.3,18.0,0.7685570019531252,2026-01-16,4,134.39,0.7766665095296389,0.008109507576513741
575.0,119.28,119.54,120.27,11.0,0.6914093359375001,2026-01-16,4,119.41,0.7039004576287586,0.012491121691258544
595.0,99.28,99.55,100.0,58.0,0.5825237060546875,2026-01-16,4,99.41499999999999,0.584587995370928,0.002064289316240475
600.0,94.31,94.56,94.49,171.0,0.5600629931640625,2026-01-16,4,94.435,0.570310896001638,0.010247902837575484
605.0,89.32,89.61,89.3,70.0,0.5390671093750001,2026-01-16,4,89.465,0.5592828615354564,0.020215752160456235
610.0,84.33,84.61,85.25,12.0,0.5127001855468749,2026-01-16,4,84.47,0.5312086100906053,0.018508424543730362
620.0,74.27,74.62,75.36,48.0,0.4831594653320313,2026-01-16,4,74.445,0.4556974911097991,-0.027461974222232177
622.0,71.08,73.88,62.2,28.0,0.6046182116699221,2026-01-16,4,72.47999999999999,0.46253167318628124,-0.1420865384836409
624.0,70.32,70.6,68.67,352.0,0.45703667968750006,2026-01-16,4,70.46,0.44017770439837367,-0.016858975289126388
625.0,69.35,69.62,70.78,16.0,0.4545952978515625,2026-01-16,4,69.485,0.4464746199412942,-0.00812067791026827
626.0,68.31,68.62,62.62,17.0,0.44873598144531246,2026-01-16,4,68.465,0.4306919726232839,-0.018044008822028557
630.0,64.3,64.64,65.15,37.0,0.42847251220703125,2026-01-16,4,64.47,0.4089457969211189,-0.019526715285912377
631.0,63.36,63.64,52.65,40.0,0.422857333984375,2026-01-16,4,63.5,0.4160313878988789,-0.006825946085496082
633.0,60.11,62.9,57.04,40.0,0.5306443420410156,2026-01-16,4,61.504999999999995,0.4056674012031497,-0.12497694083786592
635.0,59.32,59.62,59.91,48.0,0.3969786865234375,2026-01-16,4,59.47,0.37872467003053617,-0.018254016492901315
640.0,54.38,54.62,55.4,133.0,0.3679262426757813,2026-01-16,4,54.5,0.36064635643920107,-0.007279886236580213
644.0,50.39,50.66,44.74,708.0,0.34961587890624996,2026-01-16,4,50.525,0.3444712362432372,-0.005144642663012733
645.0,49.34,49.69,49.89,42.0,0.34717449707031245,2026-01-16,4,49.515,0.33503378704109793,-0.012140710029214519
650.0,44.41,44.69,44.71,215.0,0.31763377685546873,2026-01-16,4,44.55,0.31408413194424106,-0.0035496449112276673
651.0,42.16,44.95,33.15,32.0,0.40833111206054684,2026-01-16,4,43.555,0.30906291531675417,-0.09926819674379267
655.0,39.38,39.72,39.92,22.0,0.2906565075683593,2026-01-16,4,39.55,0.2823809354619221,-0.008275572106437201
660.0,34.43,34.75,34.67,278.0,0.2629468237304688,2026-01-16,4,34.59,0.2592147842036272,-0.0037320395268415907
665.0,29.45,29.73,29.8,240.0,0.23023230712890624,2026-01-16,4,29.59,0.22642159879453927,-0.0038107083343669745
666.0,27.29,30.06,28.19,11.0,0.30493859130859374,2026-01-16,4,28.674999999999997,0.23385845083745674,-0.071080140471137
668.0,25.3,28.09,22.3,111.0,0.2912668530273437,2026-01-16,4,26.695,0.22288993617530697,-0.0683769168520367
670.0,24.52,24.85,24.83,283.0,0.2074053869628906,2026-01-16,4,24.685000000000002,0.20752378987696965,0.00011840291407905212
672.0,22.58,22.9,23.64,40.0,0.19751779052734375,2026-01-16,4,22.74,0.20029257416474566,0.002774783637401912
673.0,21.61,21.93,22.4,89.0,0.19275709594726562,2026-01-16,4,21.77,0.1964668759253119,0.0037097799780462792
674.0,20.63,20.95,21.92,108.0,0.1871419177246094,2026-01-16,4,20.79,0.19125757630410184,0.004115658579492448
675.0,19.7,20.01,20.56,352.0,0.18384605224609374,2026-01-16,4,19.855,0.1902807448675546,0.006434692621460875
